Text,Level,A1,A2,B1,B2,C1,C2,Labels,Text Count
Services can be described in terms of their main attributes . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",11
The testing was delayed because of some problems with the JT9D engines . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",13
"For most of the first half of the 20th century , with a few exceptions , petticoats were out of fashion . ",B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",22
Mrs .  Which is the leader of the three women and the wisest . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",14
"When a system writes data to cache , it must at some point write that data to the backing store as well . ",B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",23
"Some of these tropical cyclones have caused deaths or a lot of property damage , usually because of flooding created by rain . ",B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",23
These moths have several unusual features . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",7
"There are not many animals in the desert , but some animals are able to survive . ",B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",17
"The dolmen dates from about 3,500 B.  C . ",B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",9
"The best fluid is plain , clean water . ",B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",9
However in April 1940 he suffered a massive stroke . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",10
"During the third hour , an autopsy was performed . ",B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",10
These are forest birds that tend to feed on insects at or near the ground . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",16
The provinces and territories are all sub-divided into regions for a variety of official and unofficial purposes . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",18
"Bertorelli died on 26 May 2017 , at the age of 69 , after a long illness . ",B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",18
"After 1998 , he began suffering from both weight - control problems and injuries . ",B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",15
A group that makes more money than it spends can lend or invest the excess profit . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",17
"If two computers send data at the same time , a collision will occur . ",B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",15
Guerra died from cardiac arrest on 11 May 2018 at the age of 52 . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",15
The following tables include medals won by athletes on OCI teams . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",12
"However , there has been much debate over the origin and meaning of this word . ",B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",16
The origin and meaning of this word are not completely known . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",12
Many right -wing politicians supported the proposal . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",8
"Many right -wing politicians supported the proposal , meaning it would reduce unreported employment . ",B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",15
"In 2002 , there were nearly 1,500 pupils in the school , of whom fewer than 1,300 were at age 16 or below . ",B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",24
"This spider is yellowish - brown with many dark spots on the rear half , in no order . ",B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",19
"O' Connell was Australia 's oldest living Test captain up until his death on 28 June 2017 , at the age of 94 . ",B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",24
Fighting in city was very violent . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",7
The presidential election was held on 28 October 2007 . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",10
This location is considered healing and is appreciated by some locals . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",12
This lake is considered healing and is appreciated by some local people . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",13
Political parties became legal in Ghana in 1992 . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",9
It was also during this period that the Egyptian writing system was further developed . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",15
"In the absence of international regulations , individual organizations were left to develop their own practices . ",B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",17
The series remains popular today . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",6
"As well as the version played on television , there was another , more graphic version created . ",B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",18
was first shown at E3 2001 as a seven-second video clip . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",12
Men and women are subject to different standards of modesty in dress . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",13
The second tunnel was discovered on 19 March 1975 . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",10
A kick in wrestling is an attack using any part of the foot or lower leg to strike the opponent 's body or head . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",25
Summers can be warm and dry for a long time . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",11
Deshpande died on 4 June 2016 from a long-illness in Mumbai at the age of 78 or 79 . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",19
"The plant grows in wet , shady places . ",B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",9
The winners receive a championship belt instead of a trophy . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",11
Title V includes technical provisions . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",6
"In Western culture , it is traditional for the person proposing to be down on one bent knee . ",B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",19
The magnetic fare card system is used for single journey tickets . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",12
A touchless smart card system is used for single journey tickets . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",12
"It has been published yearly from 1868 to 1875 , and again every year since 1886 . ",B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",17
"In April 2009 , part of the roof fell down . ",B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",11
"Unlike other races , the trophy is in the form of a grandfather clock , which has been a tradition since 1964 . ",B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",23
"In fast food chains , ketchup is often put in small packets that hold ketchup inside . ",B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",17
"The site was built between 2900 and 2600 BC , though there were possibly earlier buildings before 3000 BC . ",B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",20
The reason for the designated hitter is because many pitchers are not good hitters . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",15
"In 2004 , the national university system changed . ",B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",9
"In many countries where FGM is common , almost every woman and girl in the country has had FGM . ",B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",20
Baseball bats are often used as a club-like weapon . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",10
Bats are sometimes used as a weapon in fights or attacks . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",12
"In this version , the wrestler either starts by lying down or dropping down on the mat while the opponent stands near to their head . ",B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",26
Copper is one of a few metallic elements with a natural color other than gray or silver . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",18
"Still , German influence in the state remains very strong and visible . ",B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",13
"Nowadays , the German influence in the State of Santa Catarina is still very strong . ",B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",16
Laws retired from professional cycling in August 2016 . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",9
The region is rich in sea life . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",8
The repairs were completed on 16 July 2012 . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",9
Fingering is generally considered safe sex as long as there are no open wounds on the fingers . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",18
Lutes are made almost entirely of wood . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",8
"Librarians around the world still use the number , especially when identifying books published in the United States . ",B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",19
The forests contain a great variety of plants and animals . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",11
The eight - year war ended in a tie . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",10
Some of the food waste produced by processing can be difficult to reduce without affecting the quality of the finished product . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",22
Large amounts of food waste can occur at any stage in the process of producing food . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",17
The main economical resource is agriculture . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",7
Baber started her career as a private school principal from 1886 - 1888 . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",14
A few species live in waters where there is very little food available . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",14
"In the period from 18,000 to 15,000 years ago , Australia became dryer , with lower temperatures and less rainfall . ",B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",21
"Games are divided into 40 - minute halves , with a break in the middle . ",B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",16
"Straight rail was played professionally in the US from 1873 to 1879 , but is uncommon there today . ",B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",19
"Professional straight rail in the United States was only seen for six years , from 1873 to 1879 . ",B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",19
From 1975 a phenomenon is growing . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",7
Emergencies often require delivery of different versions of the same communication at the same time . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",16
The weapon 's barrel can not be removed quickly . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",10
"The main economic activities of the town are tourism , commerce and fishing . ",B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",14
More than 4400 m2 of the museum 's 11200 m2 is dedicated to exhibits . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",15
The mean of a list is all of the numbers added together and divided by the amount of numbers,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",19
"The mean is calculated by adding all of the values together , then dividing by the number of values . ",B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",20
It is important to keep children with croup as calm as possible . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",13
All four games in the series received positive reviews from critics . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",12
He is credited as one of the first Japanese wrestlers to gain a fan base outside of his native Japan in the United States . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",25
"A singer makes a musical statement , and then the musical chorus answers together . ",B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",15
"A common example of this would be a person contracting a hit man , or a hired killer . ",B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",19
"Mahar died on 21 May 2019 of heart failure , at the age of 52 . ",B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",16
"The lake has a good variety of fishes , and is a popular tourist attraction for fishing . ",B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",18
The basic parts of the LC - 6 were accepted . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",11
The Earth is about 4. 54 billion years old . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",10
The golden everlasting is easy to grow . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",8
Planned economies contrast with command economies . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",7
Planned economies have sometimes been successful . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",7
Agriculture is one of the main activities in the province . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",11
"After the war , the buildings were used as an immigration and migration hostel . ",B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",15
Teams are given up to four clues . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",8
The amount of fuel used to find specific impulse can be measured in different ways . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",16
The station has been built in a modern airport style . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",11
"The station was built in a modern airport style , with all of its many platforms sited underground . ",B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",19
"In this way , a single QRcode can be used to find the same article , in many languages . ",B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",20
"In this way , one QRcode can deliver the same article in many languages , even when the museum is unable to make its own translations . ",B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",27
Drug trafficking and illegal drug use is a big problem in the nation . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",14
The modern city was established in 1956 . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",8
"Depending on their location , green tree frogs will live in several habitats . ",B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",14
The green tree frog is one of the most popular pet frogs in the world . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",16
"Shammi died in her sleep on the March 6 , 2018 , from natural causes at the age of 88 . ",B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",21
"Kalpokas died after following days ill health on 20 March 2019 , at the age of 75 . ",B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",18
"Starting in 1941 , all entering students had to be high school graduates . ",B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",14
"As of 2005 , the municipality had a total population of 7,172 . ",B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",13
There are no specific treatments for dengue fever . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",9
"The Internet has made it easier for urban legends to spread , as people often spread them to their friends or family using e-mail . ",B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",25
There are four kinds of exams  These are by far the most commonly taken exams . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",16
These are by far the most commonly taken exams . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",10
The movie became very popular before it was released because of the title and because of many people talked about it on the Internet . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",25
There were only a small number of men who were healthy . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",12
"However , species vary in the details . ",B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",8
The museum also displays copies of the Erfurt Hebrew Manuscripts . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",11
"It flies slowly with its head facing downwards , looking for its main food , the large apple snails . ",B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",20
"Many variations of ketchup were created , but the tomato - based version did not appear until about a century later after other types . ",B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",25
"The bridge is 2109 m long and it was opened for traffic on December 18 , 2014 . ",B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",18
Following people were members of the band . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",8
The theory has been criticized and modified over the course of time . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",13
A knee lift is a move where a wrestler uses their knee and brings it up to hit the opponent under the chin . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",24
This daisy may be used as a leaf vegetable . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",10
Reynolds was a Professor of English from 1894 to 1938 . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",11
"As many as 5,000 heat - related deaths were reported in the United States , and 780 direct and 400 indirect deaths in Canada . ",B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",25
"More than 5,000 people in the United States died from this heat wave . ",B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",14
"The mobile stalls sell mainly two kinds of products , street food and clothes . ",B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",15
"The cartful sells mainly two kinds of products , street food and clothes . ",B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",14
"German people started arriving in 1828 , after Brazilian independence . ",B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",11
The authors suggest that oil dependence is a problem we need no longer have . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",15
Blackmail is against the law . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",6
A new worker spends the first few days of its adult life caring for the queen and young . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",19
A new ergate spends the first few days of its adult life caring for the queen and young . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",19
The following is a list of active codes of official ISO 4217 currency names . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",15
The chapel offers regular services . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",6
All the islands are low and flat . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",8
The county covers an area of 2004. 44 km2 . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",10
"There is no exact total number of deaths , because many were unrecorded . ",B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",14
"In 2005 , the municipality had a total population of 15,935 . ",B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",12
"Because planners expected fairly light traffic volumes , the bridge was designed with two lanes , and it was just 39 ft wide . ",B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",24
"Because the bridge was not expected to have large amounts of traffic , the bridge was designed with only two lanes . ",B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",22
Black powder is the oldest type of mixed rocket fuel . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",11
Another method of protection is the release of a sour liquid from the skin . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",15
"It showed that 5,308,483 people were living in the United States , of whom 893,602 were slaves . ",B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",18
A Reading Time for 20 minutes every day is designated to help students cultivate a reading habit . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",18
Reading Time is designed to help students having a good reading habit . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",13
"In the world , breast cancer is the fifth-most common cause of cancer death . ",B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",15
"The channel broadcasts live from 5 am to midnight , with a newscast updated every 15 minutes in format . ",B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",20
"The channel 's format shows rolling news bulletins , updated every 15 minutes . ",B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",14
In contrast to the natural environment is the built environment . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",11
There is also the built environment . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",7
A wrestler simply hits the opponent with a chair . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",10
The pug finally arrived in the United States during the 19th century and soon became popular there as well . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",20
The pug was also becoming famous in other European countries as well . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",13
Pure aluminum is quite soft and lacking in strength . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",10
Lamarck gradually turned blind ; he died in Paris on 18 December 1829 . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",14
Competition occurs when organisms or species need or use the same resources . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",13
Different radio stations want their DJs to speak only at certain times . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",13
The earliest European settlers to the district arrived in the 1840s . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",12
"He is a key figure in landscape painting , and painted many works . ",B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",14
"There is also the last type of a jigsaw puzzle , it is considered a 3D puzzle but made from a 2D pieces . ",B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",24
Some critics reacted against the paperwork gameplay . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",8
Some serious nuclear accidents have occurred . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",7
"Statistically speaking , elevators are extremely safe . ",B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",8
There are currently 14 teams playing in the DEL . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",10
Larger code size can be used to increase program speed when using . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",13
Most Irish people who came to the United States during the 1800s lived in big cities where there were many other Irish people . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",24
The region has a large area of national parks . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",10
Humans have had a dramatic effect on the environment . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",10
Humans have a large effect on the world . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",9
Production on the show ended in February 2001 . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",9
"While production on the show wrapped in February 2001 , new episodes were shown until March 2004 . ",B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",18
"The iOS 6. 1 update released on January 28 , 2013 had reports of reduced battery life and problems with signal strength . ",B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",23
A Kiss My Foot match is a type of singles match where the loser has to kiss the winner 's foot . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",22
"During the war , the town was completely destroyed . ",B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",10
"Ten days have passed since impact , and few dinosaurs remain . ",B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",12
"In the days and weeks that follow , few dinosaurs remain . ",B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",12
This event shows who has the hardest shot . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",9
"s of 2018 , there is no vaccine effective for prevention . ",B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",12
"In the very late 1960s , people started inventing procedural languages . ",B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",12
Barcelona is one of the most densely populated cities in Europe . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",12
"Barcelona is one of the most important tourist destinations in Europe , with millions of people visiting every year . ",B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",20
Not everyone who has HIV has AIDS . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",8
Many people with HIV do not know they have it . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",11
Safety glasses are worn to protect the eyes in various situations . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",12
Glasses can also protect the eyes . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",7
The initial landings began at 04  50 on 19 August . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",11
"For transportation to centers , some shelters offer free transportation . ",B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",11
Until 1 April 2010 the Departments were as follows . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",10
The structure and functions of the Departments were re-organized with effect from 1 April 2010 . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",16
The people are almost fully French-speaking . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",7
The award was first given for films made in 1948 . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",11
"Usually , sex is determined by an organism 's genes . ",B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",11
"An aftershock is an earthquake that occurs after a previous earthquake , the mainshock . ",B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",15
China also has a variety of forest types . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",9
The group sings theme music for anime which are famous overseas too . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",13
The group sings the theme music for the following anime . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",11
The frog spends most of the year underground . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",9
These are written papers about musical theory . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",8
Music Theory is examined through written papers . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",8
The movie was filmed from October 1991 to January 1992 . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",11
When a wrestler jumps and stamps both feet on any part of an opponent . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",15
Small businesses often face a lot of problems because of their size . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",13
He went to a religious school where the students often did n't have enough to eat . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",17
The idea behind all property law is property . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",9
It was one of the 75 divisions set up for the first federal election in 1901 . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",17
The division was one of the original 65 divisions contested at the first federal election . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",16
There are 14 subspecies of ring-necked snake . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",8
"In May 2015 , Brazil officially reported its first 16 cases of Zika fever . ",B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",15
Pippi Longstocking is a fictional nine-year- old girl . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",9
"A bird bath is an attraction for many different species of birds to visit gardens , especially during the summer and drought periods . ",B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",24
They controlled the life and destiny of everyone . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",9
The next attack was launched on 24 January . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",9
"Although concentrated in London , the outbreak affected other areas of the country as well . ",B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",16
Cloud forests are in only a few areas above 500 metres . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",12
"By 1924 , these local magazines eventually closed down . ",B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",10
A computer program is usually written by a computer programmer in a programming language . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",15
A computer program is written by a programmer . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",9
An analysis shows that the work is completely made in marble . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",12
Combs can be used to fix stray hairs and untangle wet hair . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",13
Designers need to take into account that color-blindness is highly sensitive to differences in material . ,B1,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]",16
